"","mWW","mWH","mWR","mWB","mHH","mHR","mHB","mRR","mRB","mBB","fWW","fWH","fWR","fWB","fHH","fHR","fHB","fRR","fRB","fBB","Total"
"2365",0,0,0,0,0,100,100,100,100,100,0,0,50,50,100,100,100,100,100,100,0
"2730",0,0,0,0,0,0,50,100,100,100,0,0,0,0,100,50,100,100,100,100,0
"3095",0,0,0,0,0,50,100,100,100,100,0,0,0,0,100,50,50,100,100,100,0
"3460",0,0,0,0,0,0,100,100,100,100,0,0,0,0,100,100,100,100,100,100,0
"3825",0,0,50,100,100,100,100,100,100,100,0,0,100,100,100,0,50,100,100,100,0
"4190",100,50,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0
"4555",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"4920",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"5285",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"5650",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"6015",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"6380",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"6745",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"7110",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"7475",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
